iter	RMSE
0	14.17123947
1	13.33459337
2	12.63731878
3	11.97490475
4	11.24486028
5	10.70465693
6	10.27211534
7	9.879262466
8	9.504833914
9	9.165826078
10	8.819868664
11	8.455690315
12	8.158768109
13	7.870808833
14	7.658194996
15	7.463179892
16	7.262229706
17	7.094045496
18	6.965095849
19	6.807346263
20	6.676807807
21	6.550764032
22	6.463618703
23	6.352952689
24	6.261769585
25	6.198909558
26	6.128085616
27	6.04193238
28	5.988510146
29	5.92061588
30	5.873998081
31	5.819569813
32	5.782676386
33	5.750519688
34	5.704883366
35	5.683805298
36	5.646250707
37	5.615705149
38	5.597109138
39	5.561170575
40	5.546143872
41	5.519875093
42	5.492569985
43	5.475761685
44	5.452768194
45	5.437029478
46	5.414785889
47	5.398911282
48	5.390074455
49	5.370011826
50	5.354055619
51	5.344820821
52	5.33443505
53	5.328637497
54	5.317178818
55	5.305100098
56	5.293385973
57	5.27424241
58	5.268419505
59	5.25813389
60	5.24501406
61	5.235945646
62	5.225223512
63	5.217042368
64	5.208261314
65	5.200462888
66	5.193224664
67	5.189482505
68	5.179779593
69	5.167927614
70	5.157322823
71	5.152465078
72	5.148373277
73	5.142595846
74	5.127954201
75	5.115217073
76	5.109301892
77	5.105238283
78	5.09299498
79	5.076263496
80	5.071839572
81	5.054068534
82	5.05030667
83	5.034734581
84	5.023739403
85	5.018470168
86	5.010999607
87	5.002311343
88	4.992750915
89	4.988567848
90	4.968582983
91	4.964821857
92	4.961747661
93	4.947907886
94	4.935673758
95	4.932353702
96	4.919126048
97	4.900978366
98	4.892072528
99	4.884945802
100	4.870387638
101	4.863245289
102	4.854353208
103	4.851513256
104	4.835370017
105	4.820268659
106	4.807717995
107	4.796526119
108	4.782220829
109	4.769125955
110	4.756661113
111	4.746544303
112	4.74032118
113	4.735043558
114	4.730445869
115	4.727250943
116	4.718875752
117	4.707157655
118	4.696280876
119	4.684453583
120	4.676733877
121	4.665444141
122	4.661846286
123	4.651993828
124	4.648767444
125	4.643902866
126	4.633606213
127	4.629634766
128	4.627331512
129	4.623740461
130	4.621599806
131	4.61762489
132	4.605943499
133	4.593092604
134	4.585835095
135	4.577855978
136	4.573674251
137	4.563636634
138	4.55243169
139	4.549244836
140	4.544935916
141	4.538586577
142	4.525681876
143	4.518264075
144	4.506164601
145	4.503371705
146	4.497459569
147	4.495460941
148	4.493564508
149	4.48734021
150	4.479925524
151	4.475316507
152	4.464846231
153	4.458678041
154	4.454282423
155	4.447859295
156	4.438509363
157	4.43171416
158	4.42907113
159	4.416848172
160	4.409549654
161	4.402622521
162	4.400997485
163	4.3945332
164	4.384872517
165	4.376365456
166	4.372055848
167	4.365699585
168	4.360849952
169	4.358084989
170	4.349237555
171	4.34790714
172	4.339279211
173	4.330251269
174	4.323096587
175	4.317371631
176	4.307341071
177	4.297913777
178	4.295214095
179	4.28569028
180	4.282239049
181	4.274649248
182	4.267045161
183	4.257435478
184	4.246844957
185	4.240920379
186	4.238152045
187	4.230679795
188	4.226886896
189	4.225019752
190	4.21815401
191	4.217518392
192	4.211605313
193	4.206513225
194	4.199433092
195	4.197908104
196	4.190876041
197	4.182353185
198	4.181414586
199	4.175236668
