iter	Passed	Remaining
0	0	45
1	0	44
2	0	40
3	0	38
4	0	38
5	1	38
6	1	37
7	1	38
8	1	37
9	2	38
10	2	38
11	2	40
12	2	39
13	2	39
14	3	40
15	3	40
16	3	41
17	4	40
18	4	40
19	4	40
20	4	39
21	4	39
22	5	39
23	5	38
24	5	38
25	5	38
26	5	38
27	6	38
28	6	37
29	6	37
30	6	37
31	7	37
32	7	37
33	7	36
34	7	36
35	7	35
36	8	38
37	8	37
38	9	37
39	9	37
40	9	37
41	10	38
42	10	38
43	10	38
44	10	37
45	11	37
46	11	37
47	11	36
48	11	36
49	12	36
50	12	36
51	12	35
52	12	35
53	13	35
54	13	35
55	13	34
56	13	34
57	14	34
58	14	34
59	14	33
60	14	33
61	14	33
62	15	32
63	15	32
64	15	32
65	15	31
66	16	31
67	16	31
68	16	31
69	16	31
70	17	31
71	17	30
72	17	30
73	17	30
74	18	30
75	18	29
76	18	29
77	18	29
78	19	29
79	19	28
80	19	28
81	19	28
82	19	28
83	20	27
84	20	27
85	20	27
86	20	27
87	21	26
88	21	26
89	21	26
90	21	26
91	21	25
92	22	25
93	22	25
94	22	24
95	22	24
96	22	24
97	23	24
98	23	23
99	23	23
100	23	23
101	24	23
102	24	22
103	24	22
104	24	22
105	24	22
106	25	22
107	25	21
108	25	21
109	25	21
110	26	21
111	26	20
112	26	20
113	27	20
114	27	20
115	27	19
116	27	19
117	27	19
118	28	19
119	28	18
120	28	18
121	28	18
122	29	18
123	29	17
124	29	17
125	29	17
126	29	17
127	30	16
128	30	16
129	30	16
130	30	16
131	30	15
132	31	15
133	31	15
134	31	15
135	31	14
136	32	14
137	32	14
138	32	14
139	32	14
140	32	13
141	33	13
142	33	13
143	33	13
144	33	12
145	33	12
146	34	12
147	34	12
148	34	11
149	34	11
150	34	11
151	35	11
152	35	10
153	35	10
154	35	10
155	36	10
156	36	9
157	36	9
158	36	9
159	36	9
160	37	9
161	37	8
162	37	8
163	37	8
164	37	8
165	38	7
166	38	7
167	38	7
168	39	7
169	39	6
170	39	6
171	39	6
172	39	6
173	40	5
174	40	5
175	40	5
176	40	5
177	41	5
178	41	4
179	41	4
180	41	4
181	42	4
182	42	3
183	42	3
184	42	3
185	42	3
186	42	2
187	43	2
188	43	2
189	43	2
190	43	2
191	44	1
192	44	1
193	44	1
194	44	1
195	45	0
196	45	0
197	45	0
198	45	0
199	46	0
