iter	RMSE
0	14.61495029
1	14.31529141
2	13.98362688
3	13.63332604
4	13.30637656
5	13.03592505
6	12.73632293
7	12.48079048
8	12.23377285
9	11.94836006
10	11.66735984
11	11.45010203
12	11.2128317
13	10.98588446
14	10.76112582
15	10.5228476
16	10.31458432
17	10.13466308
18	9.943820384
19	9.758220257
20	9.594191666
21	9.419632333
22	9.258504392
23	9.086798358
24	8.928376005
25	8.787655039
26	8.655424497
27	8.51533239
28	8.380865555
29	8.254008075
30	8.155255254
31	8.048537858
32	7.945458788
33	7.846749897
34	7.732249567
35	7.636079861
36	7.537930504
37	7.457335581
38	7.366674791
39	7.280661502
40	7.191640502
41	7.126407564
42	7.048133487
43	6.97891904
44	6.909091581
45	6.835292188
46	6.763311633
47	6.708812758
48	6.647669994
49	6.588702279
50	6.537440444
51	6.482308713
52	6.430457195
53	6.382177299
54	6.33210309
55	6.290245224
56	6.247337172
57	6.209693029
58	6.170288148
59	6.131899499
60	6.094832723
61	6.06078823
62	6.026164422
63	5.988709584
64	5.955330216
65	5.926050861
66	5.897503998
67	5.86758422
68	5.841926187
69	5.813111097
70	5.786259205
71	5.765992912
72	5.743909502
73	5.720498218
74	5.6957464
75	5.670173996
76	5.651261509
77	5.632188023
78	5.614277951
79	5.594438309
80	5.582983674
81	5.566878492
82	5.546930452
83	5.527957647
84	5.51874657
85	5.505440431
86	5.489805957
87	5.472732623
88	5.455705239
89	5.443902572
90	5.432432391
91	5.422095479
92	5.411910616
93	5.400526782
94	5.395517264
95	5.383951302
96	5.372121961
97	5.360852031
98	5.351700699
99	5.340065447
100	5.328386829
101	5.319784592
102	5.310894584
103	5.301497769
104	5.292723197
105	5.284546902
106	5.270800836
107	5.255550186
108	5.247929306
109	5.235937173
110	5.227237401
111	5.217858402
112	5.207317976
113	5.19700372
114	5.192183041
115	5.187495704
116	5.176775698
117	5.16863616
118	5.165515776
119	5.159849505
120	5.153857729
121	5.144630012
122	5.13687833
123	5.127627244
124	5.12247526
125	5.116385504
126	5.111859982
127	5.106142935
128	5.094625023
129	5.089686628
130	5.082693334
131	5.073817678
132	5.067826318
133	5.061383234
134	5.057589876
135	5.054302992
136	5.048517975
137	5.0403841
138	5.035726251
139	5.031094662
140	5.024617977
141	5.018816833
142	5.014370316
143	5.00552038
144	4.995615291
145	4.992844532
146	4.986923031
147	4.981685347
148	4.977942375
149	4.972166689
150	4.96864894
151	4.962368453
152	4.956902013
153	4.95293697
154	4.947585345
155	4.939644275
156	4.9366232
157	4.929345911
158	4.92374138
159	4.913223323
160	4.904958141
161	4.899002178
162	4.896055877
163	4.894355026
164	4.887194719
165	4.87674493
166	4.87182786
167	4.866082551
168	4.860059867
169	4.85749844
170	4.850966433
171	4.845336659
172	4.841131399
173	4.836547814
174	4.831036251
175	4.827791936
176	4.820864745
177	4.816965206
178	4.812451034
179	4.80891425
180	4.803977755
181	4.799280252
182	4.795155707
183	4.791001856
184	4.784945376
185	4.780740735
186	4.77722698
187	4.7701942
188	4.765954137
189	4.762757048
190	4.759238284
191	4.754486604
192	4.75084161
193	4.742854797
194	4.739959293
195	4.736592973
196	4.727984694
197	4.724627972
198	4.720245949
199	4.714843068
200	4.712474876
201	4.7076034
202	4.705639397
203	4.703711583
204	4.699477574
205	4.695781055
206	4.692927779
207	4.688545901
208	4.684787163
209	4.678767554
210	4.676431721
211	4.671526637
212	4.668479982
213	4.665410966
214	4.660078134
215	4.657935318
216	4.653976411
217	4.651937471
218	4.647063193
219	4.638815143
220	4.635731041
221	4.634279103
222	4.630966688
223	4.625319708
224	4.622210689
225	4.619065674
226	4.615996019
227	4.612808663
228	4.608653261
229	4.605368577
230	4.602922295
231	4.599661649
232	4.593818316
233	4.591422785
234	4.587302195
235	4.577983496
236	4.575008083
237	4.572162999
238	4.565277185
239	4.562346732
240	4.55199031
241	4.545409165
242	4.542632769
243	4.540631211
244	4.536821289
245	4.529887563
246	4.526057519
247	4.516637932
248	4.511335394
249	4.506908804
