iter	Passed	Remaining
0	0	519
1	0	486
2	1	511
3	1	477
4	2	457
5	2	440
6	2	424
7	3	414
8	3	413
9	4	409
10	4	407
11	4	405
12	5	401
13	5	405
14	6	400
15	7	431
16	7	428
17	7	427
18	8	425
19	8	423
20	9	421
21	9	418
22	10	424
23	10	426
24	10	423
25	11	424
26	11	421
27	12	417
28	12	414
29	12	413
30	13	411
31	13	409
32	13	407
33	14	404
34	14	401
35	14	399
36	15	398
37	15	395
38	16	394
39	16	393
40	16	392
41	17	391
42	17	390
43	17	389
44	18	389
45	18	387
46	19	387
47	19	387
48	19	388
49	20	388
50	20	387
51	21	387
52	21	385
53	21	385
54	22	383
55	22	383
56	23	383
57	23	383
58	23	382
59	24	381
60	24	381
61	25	382
62	25	382
63	26	381
64	26	380
65	26	380
66	27	379
67	27	379
68	28	378
69	28	378
70	28	378
71	29	378
72	29	378
73	30	377
74	30	376
75	30	375
76	31	376
77	31	375
78	32	375
79	32	374
80	32	372
81	33	371
82	33	370
83	33	370
84	34	368
85	34	367
86	34	367
87	35	366
88	35	365
89	36	365
90	36	364
91	36	364
92	37	364
93	37	363
94	37	361
95	38	360
96	38	360
97	39	359
98	39	358
99	39	358
100	40	358
101	40	358
102	41	358
103	41	357
104	41	357
105	42	357
106	42	356
107	43	356
108	43	355
109	43	354
110	44	354
111	44	353
112	45	353
113	45	353
114	45	352
115	46	350
116	46	350
117	46	349
118	47	349
119	47	348
120	48	348
121	48	348
122	48	348
123	49	349
124	49	348
125	50	348
126	50	347
127	50	347
128	52	351
129	52	351
130	52	350
131	53	350
132	53	349
133	54	349
134	54	348
135	54	347
136	55	347
137	55	346
138	55	346
139	56	346
140	57	347
141	57	346
142	57	346
143	58	346
144	58	345
145	59	345
146	59	345
147	59	344
148	60	344
149	60	343
150	61	344
151	61	344
152	62	343
153	62	343
154	62	343
155	63	343
156	63	342
157	64	341
158	64	341
159	64	341
160	65	340
161	65	340
162	66	339
163	66	338
164	66	338
165	67	337
166	67	337
167	67	336
168	68	335
169	68	335
170	69	334
171	69	334
172	69	333
173	70	333
174	70	332
175	71	332
176	71	331
177	71	331
178	72	331
179	72	330
180	72	330
181	73	330
182	73	329
183	74	329
184	74	329
185	75	329
186	75	329
187	76	328
188	76	328
189	76	327
190	77	327
191	77	327
192	78	326
193	78	326
194	78	325
195	79	326
196	79	325
197	80	324
198	80	324
199	80	323
200	81	323
201	81	322
202	82	322
203	82	322
204	83	323
205	83	323
206	84	323
207	84	323
208	85	322
209	85	322
210	86	321
211	86	321
212	86	320
213	87	320
214	87	320
215	88	320
216	88	320
217	89	319
218	89	318
219	90	319
220	90	318
221	90	318
222	91	317
223	91	317
224	91	316
225	92	316
226	92	315
227	93	315
228	93	314
229	93	314
230	94	313
231	94	313
232	95	313
233	95	312
234	95	312
235	96	311
236	96	311
237	97	310
238	97	310
239	97	309
240	98	309
241	98	308
242	98	308
243	99	307
244	99	307
245	100	306
246	100	306
247	100	305
248	101	305
249	101	305
250	102	304
251	102	304
252	102	304
253	103	303
254	103	302
255	104	302
256	104	302
257	104	301
258	105	301
259	105	300
260	106	300
261	106	299
262	106	299
263	107	298
264	107	298
265	107	297
266	108	297
267	108	296
268	109	296
269	109	296
270	110	295
271	110	295
272	110	295
273	111	294
274	111	294
275	111	293
276	112	293
277	112	292
278	113	292
279	113	292
280	114	292
281	114	291
282	114	291
283	115	290
284	115	290
285	115	289
286	116	289
287	116	288
288	117	288
289	117	288
290	118	287
291	118	287
292	118	286
293	119	286
294	119	285
295	120	285
296	120	284
297	120	284
298	121	283
299	121	283
300	121	282
301	122	282
302	122	281
303	122	281
304	123	280
